"Participant","LQ_dominance_1","LQ_dominance_2","LQ_dominance_3","LQ_dominance_4","LQ_dominance_5","LQ_acquisition_1","LQ_acquisition_2","LQ_acquisition_3","LQ_acquisition_4","LQ_acquisition_5","LQ_exp_lang_1","LQ_exp_lang_2","LQ_exp_lang_3","LQ_exp_lang_4","LQ_exp_lang_5","LQ_read_lang_1","LQ_read_lang_2","LQ_read_lang_3","LQ_read_lang_4","LQ_read_lang_5","LQ_speak_lang_1","LQ_speak_lang_2","LQ_speak_lang_3","LQ_speak_lang_4","LQ_speak_lang_5","LQ_culture_1","LQ_culture_2","LQ_culture_3","LQ_culture_4","LQ_culture_5","LQ_edu_other_text","LQ_current_residence_country","LQ_immigration_country_1","LQ_immigration_country_2","LQ_immigration_country_3","LQ_disability_explanation","LQ_disability_options","LQ_education_level"
146,"Italian","English ","Spanish","French","","Italian ","English ","Spanish ","French ","","Italian ","English ","Spanish","French ","","Italian ","English ","Spanish ","","","Italian ","Spanish ","English ","","","Italian ","","","","","","Italy ","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
77,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","European","Mediterrean","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
50,"italian","english","french","","","italian","french","english","","","italian","french","english","","","italian","english","","","","italian","french","english","","","italian","catholic","european","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
53,"italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","italianoi","inglese","","","","italiano","inglese","","","","sud americana","americana","","","","","Italia","spagna","inghilterra","America","","unchecked, unchecked, unchecked, unchecked, checked","College"
6,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","Atheism","Liberalism","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
243,"Italian","English","Spanish","French","","Italian","French","English","Spanish","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","European","","","","","Italy","Iceland","","","I had a severe cholesteatoma%2C which destroyed my inner ear's bones and reduced my ability to hear","unchecked, checked, unchecked, unchecked, unchecked","Some College"
169,"italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","Italian","","","","","","Italia","Regno unito","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
214,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","","","","","Italy","No","","","","unchecked, unchecked, unchecked, unchecked, checked","Professional Training"
215,"Italian","English","Spanish","French","","Italian","English","French","Spanish","","Italian","English","Spanish","French","","Italian","English","","","","Italian","English","","","","Italian","American","","","","","Italy","","","","I need to use glasses","unchecked, unchecked, unchecked, unchecked, checked","High School"
133,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","Christian","","","","Italy","","","","Myopia","unchecked, unchecked, unchecked, unchecked, checked","Some College"
119,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","I have glasses","checked, unchecked, unchecked, unchecked, unchecked","College"
11,"Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","","","","","","Italy","","","","I need glasses to see from my left eye","checked, unchecked, unchecked, unchecked, unchecked","High School"
301,"Italian","English","","","","Italian","English","","","","Italian ","English","","","","Italian ","English","","","","Italian ","English","","","","Italian","","","","","","Italy","","","","I wear glasses","checked, unchecked, unchecked, unchecked, unchecked","High School"
147,"Italian ","English","","","","Italian ","English ","","","","Italian ","English","","","","Italian ","English ","","","","Italian ","English","","","","Scouse","Italian ","Birmingham ","Spanish","French","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
36,"Italian","English","","","","Italian","English","","","","90","10","","","","90","10","","","","90","10","","","","European","Italian","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
286,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
291,"italian","english","tagalog","","","italian","english","tagalog","","","italian","english","tagalog","","","italian","english","tagalog","","","italian","english","tagalog","","","caucasian","catholic","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
175,"Italian","English","German","Spanish","","Italian","English","Spanish","German","","Italian","English","German","Spanish","","Italian","English","German","Spanish","","Italian","English","German","Spanish","","Italian","","","","","","Italy","Germany","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
98,"Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","English","French","","","Italian","European","","","","","Italy","","","","Myopia%2C corrected with glasses","checked, unchecked, unchecked, unchecked, unchecked","Masters"
275,"Italian","English","Spanish","French","Japanese","Italian","English","French","Spanish","Japanese","Italian","English","Spanish","French","Japanese","Italian","English ","Spanish","French","Japanese ","Italian","English ","Spanish","French","Japanese","Italian","European","Us-American","Japanese","Thai","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
256,"Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","English","Spanish","French","","Italian","Argentinian","","","","","Italy","Argentina","Canada","Philippines","","unchecked, unchecked, unchecked, unchecked, checked","High School"
76,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
21,"italian","english","french","german","","Italian","english","german","french","","italian","english","french","german","","italian","english","french","german","","Italian","english","french","german","","Italian","US-American","French","German","English","","UK","UK","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
65,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","Neapolitan","European","English","Cattolic","","Italy","","","","Yes%2C myopia (corrected with glasses/contacts)","checked, unchecked, unchecked, unchecked, unchecked","College"
287,"italiano","inglese","spagnolo","","","italiano","inglese","spagnolo","","","italiano","inglese","spagnolo","cinese","rumeno","italiano","inglese","spagnolo","cinese ","rumeno","italiano","inglese","spagnolo","cinese","rumeno","cristiana","statunitense","cinese","ebraico","ortodosso","niente","italia","italia","","","sono astigmatico ma non indosso gli occhiali ","checked, unchecked, unchecked, unchecked, unchecked","High School"
262,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","White","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
64,"Italian","English","German","","","Italian","English","German","","","Italian","English","German","","","Italian","English","German ","","","Italian","English","German","","","Austrian","Italian","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
223,"Italian","English ","Spanish ","","","Italian ","English ","Spanish ","","","Italian ","English ","Spanish ","","","Italian ","English ","Spanish ","","","Italian ","English ","Spanish","","","Italian ","","","","","","Italy ","","","","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
233,"Italian","English","German","French","Russian","Italian ","English","German","","","Italian","English","German","","","Italian","English","German","","","Italian","English","German ","","","Italian","","","","","","Italy","","","","I need glasses to see","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
18,"Italian","English ","Spanish","Russian","","Italian","English ","Spanish ","Russian","","Italian","English ","Spanish","Russian","","Italian","English ","Spanish ","Russian","","Italian","English ","Spanish ","Russian","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
181,"italian","english","espanol","","","italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","european","cattolic","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
206,"Italian","English ","Spanish ","","","Italian","English ","Spanish ","","","Italian","English","Spanish ","","","Italian","English ","Spanish ","","","Italian","English ","Spanish ","","","Italian","Us american","Spanish","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
109,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","Tyrolean","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
123,"Hindi ","English","Italian","","","Hindi","English","Italian","","","Hindi","English","Italian","NA","NA","English","Hindi","Italian","","","English","Hindi","Italian","","","Indian","","","","","","Italy","Italy","","","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
108,"Italian","English","Spanish","French","","Italian","French","English","Spanish","","Italian","English","Franch","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","","","Italy","UK","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
54,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
296,"Italian","English","","","","Italian","English","","","","Italian","English","none","none","none","Italian","English","","","","Italian","English","","","","Italian","European","","","","","Italian","UAE","Bulgaria","Latvia","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
217,"italian","english","español","","","italian","español","english","","","italian","english","español","","","italian","english","español ","","","italian","english","español ","","","italian","peruvian","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Less than High School"
289,"Italian","English","","","","Italian","English","","","","Italian","English","None","None","None","Italian","English","None","None","None","Italian","English","None","None","None","Italian","","","","","","Italy","Italy ","","","I wear glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
177,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","","","","","","Italy","","","","I wear glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
52,"italian","English","French","","","Italian","French","English","","","Italian","English","French","","","Italian","English","french","","","Italian","English","","","","Italian","French","English","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
19,"Italian","English","","","","Italian","","","","","Italian","English","Franch","Spanish","Urdu","Italian","","","","","Italian","ENGLISH","","","","European","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
158,"Italian ","English ","","","","Italian","English","","","","Italian","English","","","","Italian ","English ","","","","Italian ","English ","","","","Italian","European","","","","","Italia","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
251,"Italian ","English ","Spanish ","French ","","Italian ","English ","Spanish ","French ","","Italian ","English ","French ","Spanish ","","English ","Spanish ","French ","","","English ","Spanish ","French ","","","European ","","","","","","Italy ","","","","Contact lenses and glasses ","checked, unchecked, unchecked, unchecked, unchecked","Masters"
14,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","English","Italian","Spanish","","","English","Italian","Spanish","","","Italian","","","","","","Italy","","","","AUDHD%2C visually impaired without glasses or contacts","checked, unchecked, unchecked, checked, unchecked","High School"
285,"Italian","English","German","","","Italian","English","German","","","Italian","English","German","","","English","Italian","german","","","Italian","English","","","","English","Italian","","","","","Italy","Italy","England","Germany","N/A","unchecked, unchecked, unchecked, unchecked, checked","Masters"
67,"English","Italian","French","Spanish","German","Italian","English","French","German","Spanish","English","Italian","French","Spanish","German","English","Italian","French","","","English","Italian","French","Spanish","German","UK-British","Italian","","","","","Italy","UK","","","short-sighted%2C correcred with lenses","checked, unchecked, unchecked, unchecked, unchecked","Masters"
225,"Italian","English","Latin","French","Ancient Greek","Italian","English","French","Latin","Ancient Greek","Italian","English","French","Latin","Ancient Greek","Italian","English","French","Latin","Ancient Greek","Italian","English","French","Latin","Ancient Greek","Italian","Catholic","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
297,"Italian","English","French","Spanish","German","Italian","French","English","Spanish","German","Italian","English","French","Spanish","German","Italian","English","French","Spanish","German","Italian","English","French","Spanish","German","Italian","English","","","","","Italy","","","","Myopia","checked, unchecked, unchecked, unchecked, unchecked","Professional Training"
46,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","Some university","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Other"
61,"Italian","English","Spanish","","","Italian","English ","Spanish","","","Italian","English ","Spanish","","","Italian","English","","","","Italian","English","","","","Italian","European","Mediterranean","","","","Italy","Italy","","","I can noto hear from the right hear.","unchecked, checked, unchecked, unchecked, unchecked","High School"
152,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","Cosmopolitan","Catholic","","","","Italy","Italy","","","I wear glasses since I was seven.","checked, unchecked, unchecked, unchecked, unchecked","High School"
292,"Italian","English","French","Spanish ","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","English","French","Spanish","","Italian","British","American","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
165,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
149,"Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
82,"Italian","English","","","","Italian ","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","Italian","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Less than High School"
148,"Italian","English","Spanish","German","","Italian","English","Spanish","German","","Italian","English","Spanish","German","","English","Italian","Spanish","German","","English","Italian","Spanish","German","","Italian","","","","","","Italy","England ","Spain","Germany","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
197,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
237,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","Italian","","","","Bachelor degree in Comupter Engineering","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Other"
73,"italian","english ","french","","","italian","english ","french","","","italian","english","french","","","italian","","","","","italian","","","","","italian","","","","","","naples ","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
51,"italian","english","french","spanish","german","italian","english","french","german","spanish","italian","english","french","spanish","german","english","french","german","french","","english","french","spanish","german","","european","","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Some Graduate School"
130,"Italian","Albanian","English","Spanish","French","Albanian","Italian","English","Spanish","German","Italian","Albanian","English","Spanish","French","English","Italian","Albanian","Spanish","French","Italian","Albanian","English","Spanish","French","Albanian","Italian","French","Spanish","US-American","Bachelor Degree","Italy","Albania","","","","unchecked, unchecked, unchecked, unchecked, checked","Other"
56,"italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","italian","english","","","","italian","","","","","","Italy","","","","I have myopia%2C treated with glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
127,"Italian ","English","Spanish","French","","Italian ","English","Spanish","French","","Italian","English","Spanish","French","","Italian ","English","Spanish","French","","Italian","English","Spanish","French","","Italian","Christian ","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
4,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian ","English ","","","","Italian","English ","","","","Italiana","","","","","","Italy ","","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
160,"Italiano ","Inglese ","Spagnolo","","","Italiano","inglese","Spagnolo","","","Italiano","Inglese","Spagnolo","","","Italiano","Inglese","Spagnolo","","","Italiano","Inglese","Spagnolo","","","Americani","Cinesi","Ebreo","","","","Italia","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
90,"italian","English","Spanish ","French","German ","Italian","English ","French","German","Spanish","Italian","English","Spanish ","","","Italian","English","Spanish ","","","Italian ","","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
134,"Italian","English","","","","Italian","English","","","","Italian","English","","","","English","Italian","","","","Italian","English","","","","Italian","","","","","","Italy","","","","I'm very shortsighted and always have to wear glasses","checked, unchecked, unchecked, unchecked, unchecked","Professional Training"
95,"Italian","English","French","Spanish","Japanese","Italian","English","French","Japanese","Spanish","Italian","English","Japanese","Spanish","French","Italian","English","Japanese","Spanish","French","Italian","English","Japanese","Spanish","French","Italian","English","Japanese","Spanish","Chinese","","Italy","","","","I suffer from myopia","checked, unchecked, unchecked, unchecked, unchecked","Ph.D./M.D./J.D."
288,"Italian","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","Us-American","Japanese ","","","","Italy ","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
139,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","myopia (lenses)","checked, unchecked, unchecked, unchecked, unchecked","Some College"
280,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","","","","","","Italy","U.K.","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
274,"italian","english","spanish","","","italian","spanish","english","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","spanish","american","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
59,"Italian","English","tagalog","","","italian","tagalog","english","","","Italian","English","tagalog","","","italian","english","tagalog","","","italian","english","tagalog","","","Italian","Filipino","catolic","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","College"
27,"Italian","English","German","","","Italian","English","German","","","Italian","English","German","","","Italian","English","German","","","Italian","English","German","","","Italian","","","","","","Italy","","","","Mild visual impairment (I need glasses).","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
230,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","European","Veneta","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","College"
141,"italian","English ","spanish","french","","italian","English ","french","spanish","","italian","English ","spanish","","","Italian ","english","","","","italian","English ","","","","italian","us-american","european","spanish","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
240,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","Neurodivergence%2C autism%2C adhd","unchecked, unchecked, unchecked, checked, unchecked","College"
187,"Italian","English","","","","Italian ","English ","","","","Italian ","English","","","","Italian ","English ","","","","Italian ","English ","","","","White ","","","","","","Italy ","England ","","","","checked, unchecked, unchecked, unchecked, unchecked","High School"
44,"Italian","English","","","","Italian","English","","","","Italian","English","n/a","n/a","n/a","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
167,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian ","English","","","","Italian ","English ","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
192,"Italian","English","","","","Italian","English","","","","Italian ","English ","","","","Italian","English","","","","Italian","English","","","","Italian ","","","","","","Italy","Germany","Switzerland","France","","checked, unchecked, unchecked, unchecked, unchecked","Masters"
129,"italian","english","french","","","italian","french","english","","","italian","english","french","","","english","italian","french","","","italian","","","","","Italian","European","","","","","Italy","Italy","","","","unchecked, unchecked, unchecked, unchecked, checked","Some College"
9,"Italiano","English","Nihongo","Espanol","","Italiano","English","Espanol","Nihongo","","Italiano","English","Nihongo","Espanol","","Italiano","English","Nihongo","Espanol","","Italiano","English","Nihongo","Espanol","","European","Japanese","","","","","Italy","","","","Myopia and astigmatism%2C I use glasses","checked, unchecked, unchecked, unchecked, unchecked","High School"
182,"italian","english","korean","french","","italian","english","french","korean","","italian","english","french","korean","","italian","english","french","korean","","italian","english","french","korean","","italian","british","","","","","italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
25,"italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","italiano","inglese","","","","European","","","","","","Italy","Italy","","","","unchecked, unchecked, unchecked, unchecked, checked","Ph.D./M.D./J.D."
261,"Italian","English","French","","","Italian","French","English","","","Italian","English","French","","","Italian","English","French","","","Italian","","","","","none","","","","","","Italy","","","","myopia","checked, unchecked, unchecked, unchecked, unchecked","Professional Training"
86,"Italian ","English","","","","Italian","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","English ","","","","Italian ","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
150,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","US-American","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Professional Training"
266,"Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","High School"
124,"italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","italian","english","spanish","","","europe","italian","","","","","italy","","","","i wear glasses","checked, unchecked, unchecked, unchecked, unchecked","Some College"
66,"Italiano ","Ingkese","","","","Italiani","Ingkese","","","","Italiano ","Ingkese","","","","Italiano ","Inglese","","","","Itakiano","Inglese","","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","College"
252,"italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","Italian","English","","","","European","Asiatic","","","","","Italy","","","","","checked, unchecked, unchecked, unchecked, unchecked","Less than High School"
29,"Italian ","English ","French ","","","Italian ","English ","French ","","","Italian","English ","French ","","","Italian ","English ","French","","","Italian ","English","French","","","Italian ","","","","","","Italy ","","","","","checked, unchecked, unchecked, unchecked, unchecked","College"
228,"Italian","English","French","","","Italian","English ","French","","","Italian ","English ","French","","","Italian ","English","French","","","Italian ","English","French ","","","European","","","","","","Italy","China ","","","","checked, unchecked, unchecked, unchecked, unchecked","Some Graduate School"
202,"Italian","English","Spanish","","","Italian ","English ","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish","","","Italian","English","Spanish ","","","Italian","","","","","","Italy","","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
30,"Italian","English ","French","","","Italian","French","English","","","Italian","English","","","","Italian","English ","","","","Italian","English","","","","Northern Europe","Italian","","","","","Italy","Eire","","","","unchecked, unchecked, unchecked, unchecked, checked","Masters"
